image,pseudo_objects,gt_objects,matched_objects
"images/val/273271,104ec00067d5b782.jpg",13,39,13
"images/val/273271,12c170004bd53807.jpg",6,17,6
"images/val/273271,151210003c437b07.jpg",10,30,9
"images/val/273271,1764b000b232f0d0.jpg",16,18,16
"images/val/273271,1bb16000e7a389a3.jpg",3,5,3
"images/val/273271,1da8500031927201.jpg",5,5,5
"images/val/273271,1f194000b8070849.jpg",3,8,3
"images/val/273271,1fe910001b52222b.jpg",4,5,4
"images/val/273271,219640002d98657b.jpg",3,4,3
"images/val/273271,22d4b000dc140bf3.jpg",5,6,5
"images/val/273271,23d9d0000f219568.jpg",11,27,11
"images/val/273271,265c9000e1a72c57.jpg",9,11,9
"images/val/273271,299570006cb822b1.jpg",20,32,19
"images/val/273271,2c2e6000e67483fc.jpg",7,7,7
"images/val/273271,2d284000f7dfd099.jpg",8,8,8
"images/val/273271,49df000b72422a4.jpg",14,61,14
"images/val/273271,6978000bc5ca523.jpg",8,10,8
"images/val/273271,9e4f0004d21d70b.jpg",10,19,10
"images/val/273271,c9db000d5146c15.jpg",6,6,6
"images/val/273271,fb48000b01fe0f2.jpg",25,103,22
"images/val/273275,1038bc000d0fa9dba.jpg",6,7,6
"images/val/273275,106a20000df0ef0f9.jpg",5,7,5
"images/val/273275,108b56000b706f71e.jpg",1,10,1
"images/val/273275,10c980000fee2dac9.jpg",7,8,7
"images/val/273275,10f7d300015fdc5eb.jpg",7,7,7
"images/val/273275,1122960009535d9d5.jpg",15,25,15
"images/val/273275,1194390006c4fba34.jpg",6,6,6
"images/val/273275,11c9600005e6b80e8.jpg",14,20,14
"images/val/273275,1206150006f1d9805.jpg",8,8,8
"images/val/273275,1215a4000c1093680.jpg",16,19,16
"images/val/273275,1239c10001a10715a.jpg",6,12,6
"images/val/273275,1267f40007a104811.jpg",36,36,36
"images/val/273275,12b63c000c6363629.jpg",11,18,10
"images/val/273275,1311b000277ba7ac.jpg",15,19,14
"images/val/273275,133463000b35e556f.jpg",3,6,3
"images/val/273275,136ed8000affd02f4.jpg",34,115,34
"images/val/273275,13a9b40005572d3f7.jpg",7,7,6
"images/val/273275,13c2950002c876fd3.jpg",14,14,14
"images/val/273275,13fad000aaef02af.jpg",17,27,17
"images/val/273275,141550002821905b.jpg",18,26,16
"images/val/273275,142c5e000bbdb0e4c.jpg",2,5,2
"images/val/273275,145bd2000d0bf496e.jpg",2,5,2
"images/val/273275,1480e10008d59c60d.jpg",11,12,11
"images/val/273275,14b7a000c518e802.jpg",24,45,24
"images/val/273275,14ebad0000a0ef228.jpg",14,41,14
"images/val/273275,1713400068956f34.jpg",10,23,10
"images/val/273275,195b7000ff4ca9c5.jpg",13,15,12
"images/val/273275,1b37d000e567d94f.jpg",21,34,21
"images/val/273275,1f7d2000c8f6e1c1.jpg",12,16,11
"images/val/273275,21c8e000a1b3351c.jpg",20,62,20
"images/val/273275,264d0000363a69c5.jpg",6,8,6
"images/val/273275,2b26c000b1625c09.jpg",5,9,5
"images/val/273275,2e94400044d7918d.jpg",11,13,11
"images/val/273275,30df8000a996bfbe.jpg",11,29,11
"images/val/273275,33b0f0005e85c95b.jpg",9,208,8
"images/val/273275,365e300084fc18a5.jpg",6,16,6
"images/val/273275,3858c00022999986.jpg",8,21,8
"images/val/273275,3ae4b000ae78fdc5.jpg",12,25,12
"images/val/273275,3c96600010b5f224.jpg",9,30,8
"images/val/273275,40be000037b1fe03.jpg",10,31,10
"images/val/273275,432ce000f071cf58.jpg",13,25,13
"images/val/273275,463e60006e4dbf83.jpg",7,10,7
"images/val/273275,49f02000803da8c2.jpg",11,11,10
"images/val/273275,4ce7b000d7be8d88.jpg",5,8,5
"images/val/273275,4fc7b000f1698207.jpg",10,18,10
"images/val/273275,51c94000f7993ed3.jpg",15,49,9
"images/val/273275,53978000db8bb1e8.jpg",3,35,3
"images/val/273275,56e5b000f5be4e23.jpg",8,6,6
"images/val/273275,58ab700012467f93.jpg",13,26,12
"images/val/273275,5c2090001fa67cb5.jpg",2,7,2
"images/val/273275,5d050007f9c153a.jpg",7,10,7
